,Date,SampleEvent,Coord_Starting_X,Coord_Starting_Y,Total_Water_Sampled_m3,Season,Site,Tidal_Period,Tidal_Height_ft,total_particles_sampleevent,Particles_per_meter_cubed
1,1/25/21,CPO_2-1,-71.34538,41.72522,127.52496,Winter,CPO,flood,0.86,117,0.917467451
2,1/25/21,HOP_2-1,-71.37972,41.621,147.24336,Winter,HOP,flood,1.53,10,0.067914777
3,2/4/21,GIO_2-1,-71.34441,41.51905,174.54576,Winter,GIO,ebb,2.52,84,0.481249158
4,2/4/21,HOG_2-1,-71.30507,41.63284,138.29424,Winter,HOG,ebb,3.36,128,0.925562771
5,2/20/21,BLS_2-1,-71.37005,41.43445,142.99632,Winter,BLS,flood,1.7,14,0.097904617
6,2/20/21,GIO_2-2,-71.34364,41.51888,162.2976,Winter,GIO,ebb,2.49,54,0.33272211
7,2/20/21,HOG_2-2,-71.30478,41.63293,136.96704,Winter,HOG,ebb,2.28,20,0.146020532
8,2/20/21,WDI_2-1,-71.40522,41.51015,153.99312,Winter,WDI,flood,2.22,69,0.448071966
9,2/21/21,BLS_2-2,-71.37291,41.43491,153.12096,Winter,BLS,flood,1.24,18,0.117554122
10,2/21/21,CPO_2-2,-71.34541,41.72454,147.888,Winter,CPO,ebb,2.49,9,0.060856865
11,2/21/21,HOP_2-2,-71.37881,41.6207,150.5424,Winter,HOP,ebb,2.32,35,0.23249264
12,2/21/21,WDI_2-2,-71.40579,41.51008,141.13824,Winter,WDI,flood,1.73,67,0.474711885
13,5/12/21,BLS_3-1,-71.40076,41.44313,104.58336,Spring,BLS,flood,0.28,18,0.17211151
14,5/12/21,CPO_3-1,-71.34487,41.72479,134.00928,Spring,CPO,ebb,3.1,65,0.485041036
15,5/12/21,GIO_3-1,-71.34428,41.51816,130.48272,Spring,GIO,ebb,1.66,34,0.260570902
16,5/12/21,HOG_3-1,-71.30529,41.63323,120.13056,Spring,HOG,ebb,2.48,123,1.023886012
17,5/12/21,HOP_3-1,-71.38165,41.61829,107.08608,Spring,HOP,flood,0.73,19,0.177427356
18,5/12/21,WDI_3-1,-71.4051,41.51255,114.21504,Spring,WDI,flood,0.15,97,0.849275192
19,5/13/21,BLS_3-2,-71.40047,41.44344,91.46304,Spring,BLS,flood,0.18,21,0.22960094
20,5/13/21,CPO_3-2,-71.34583,41.72587,89.83248,Spring,CPO,ebb,2.71,64,0.712437194
21,5/13/21,GIO_3-2,-71.34396,41.51934,81.18672,Spring,GIO,ebb,1.41,18,0.221711137
22,5/13/21,HOG_3-2,-71.30458,41.63441,90.02208,Spring,HOG,ebb,2.1,49,0.544310907
23,5/13/21,HOP_3-2,-71.38006,41.61881,117.70368,Spring,HOP,flood,0.85,5,0.042479555
24,5/13/21,WDI_3-2,-71.40576,41.51303,108.33744,Spring,WDI,flood,0.41,17,0.156917129
25,9/20/21,BLS_4-1,-71.40064,41.443,63.21264,Summer/Fall,BLS,ebb,0.3,4,0.063278484
26,9/20/21,CPO_4-1,-71.34491,41.72495,70.26576,Summer/Fall,CPO,ebb,2.98,122,1.736265288
27,9/20/21,GIO_4-1,-71.34422,41.51957,103.06656,Summer/Fall,GIO,ebb,1.08,11,0.106727148
28,9/20/21,HOG_4-1,-71.30518,41.63335,96.77184,Summer/Fall,HOG,ebb,1.92,120,1.240030158
29,9/20/21,HOP_4-1,-71.37933,41.61787,92.56272,Summer/Fall,HOP,flood,0.18,34,0.367318506
30,9/20/21,WDI_4-1,-71.40558,41.51288,89.6808,Summer/Fall,WDI,ebb,0.16,5,0.055753294
31,9/21/21,BLS_4-2,-71.40086,41.44255,53.58096,Summer/Fall,BLS,ebb,0.32,2,0.037326692
32,9/21/21,CPO_4-2,-71.34534,41.7244,72.31344,Summer/Fall,CPO,ebb,3.86,20,0.27657376
33,9/21/21,GIO_4-2,-71.34427,41.51979,106.97232,Summer/Fall,GIO,ebb,1.84,3,0.028044638
34,9/21/21,HOG_4-2,-71.3053,41.63324,76.93968,Summer/Fall,HOG,ebb,3.06,12,0.155966336
35,9/21/21,HOP_4-2,-71.37917,41.61792,64.0848,Summer/Fall,HOP,flood,0.16,5,0.078021621
36,9/21/21,WDI_4-2,-71.40552,41.51258,68.52144,Summer/Fall,WDI,ebb,0.13,2,0.029187945
37,2/8/22,BLS_5-1,-71.400925,41.4414917,70.152,Winter,BLS,flood,2.38,25,0.356369027
38,2/8/22,CPO_5-1,-71.34525,41.72456,85.24416,Winter,CPO,ebb,2.47,4,0.046924036
39,2/8/22,GIO_5-1,-71.34463,41.51139,78.34272,Winter,GIO,flood,2.65,31,0.395697265
40,2/8/22,HOG_5-1,-71.30549,41.6332,85.24416,Winter,HOG,ebb,2.69,23,0.269813205
41,2/8/22,HOP_5-1,-71.37941,41.6175,68.52144,Winter,HOP,ebb,1.94,6,0.087563834
42,2/8/22,WDI_5-1,-71.40561,41.51222,64.42608,Winter,WDI,flood,1.98,120,1.862599742
43,3/10/22,BLS_5-2,-71.3999,41.44264,37.19952,Winter,BLS,flood,1.68,11,0.29570274
44,3/10/22,CPO_5-2,-71.34554,41.7242,77.9256,Winter,CPO,ebb,2.67,68,0.872627224
45,3/10/22,GIO_5-2,-71.34871,41.51525,74.892,Winter,GIO,flood,2.04,28,0.373871709
46,3/10/22,HOG_5-2,-71.3046,41.63312,68.71104,Winter,HOG,flood,2.48,83,1.207957266
47,3/10/22,HOP_5-2,-71.37934,41.61785,71.36544,Winter,HOP,ebb,2.42,17,0.23821054
48,3/10/22,WDI_5-2,-71.40551,41.5125,67.42176,Winter,WDI,flood,1.36,80,1.186560541
49,5/12/22,BLS_6-1,-71.40063,41.44299,93.88992,Spring,BLS,ebb,0.23,24,0.255618495
50,5/12/22,CPO_6-1,-71.346,41.72437,50.85072,Spring,CPO,flood,0.86,92,1.809217254
51,5/12/22,GIO_6-1,-71.3444,41.51685,85.96464,Spring,GIO,flood,0.31,8,0.093061519
52,5/12/22,HOG_6-1,-71.20579,41.63316,72.38928,Spring,HOG,flood,0.52,43,0.594010605
53,5/12/22,HOP_6-1,-71.37886,41.61748,70.30368,Spring,HOP,flood,0.32,16,0.227584104
54,5/12/22,WDI_6-1,-71.40543,41.51274,64.72944,Spring,WDI,ebb,0.32,31,0.478916549
55,5/26/22,BLS_6-2,-71.3995833,41.4424833,92.3352,Spring,BLS,ebb,0.33,13,0.140791378
56,5/26/22,CPO_6-2,-71.3447833,41.7249667,89.71872,Spring,CPO,flood,0.77,18,0.200627026
57,5/26/22,GIO_6-2,-71.3421,41.5189667,87.4056,Spring,GIO,flood,0.37,7,0.080086402
58,5/26/22,WDI_6-2,-71.4053667,41.5070833,98.85744,Spring,WDI,ebb,0.44,9,0.091040189
59,6/2/22,HOP_6-2,-71.3819167,41.6173833,86.79888,Spring,HOP,flood,3.2,72,0.829503791
60,8/4/22,BLS_7-1,-71.3993833,41.44215,92.56272,Summer/Fall,BLS,flood,2.77,31,0.334908049
61,8/4/22,CPO_7-1,-71.3342833,41.7181833,95.06544,Summer/Fall,CPO,ebb,4.05,19,0.199862326
62,8/4/22,GIO_7-1,-71.34155,41.5193833,80.2008,Summer/Fall,GIO,flood,3.33,8,0.099749628
63,8/4/22,HOG_7-1,-71.3057333,41.6338,89.52912,Summer/Fall,HOG,flood,3.81,8,0.089356402
64,8/4/22,WDI_7-1,-71.4041167,41.50795,102.9528,Summer/Fall,WDI,flood,2.41,15,0.145697834
65,8/15/22,BLS_7-2,-71.3998667,41.4415167,80.58,Summer/Fall,BLS,flood,4.5,35,0.434350956
66,8/15/22,CPO_7-2,-71.3333833,41.72495,66.24624,Summer/Fall,CPO,ebb,3.84,49,0.739664621
67,8/15/22,GIO_7-2,-71.3411667,41.5182167,94.30704,Summer/Fall,GIO,flood,4.65,7,0.074225636
68,8/15/22,HOG_7-2,-71.30515,41.6333667,78.684,Summer/Fall,HOG,ebb,4.3,15,0.190635962
69,8/15/22,HOP_7-1,-71.3813833,41.6183667,94.72416,Summer/Fall,HOP,ebb,1.3,7,0.073898781
70,8/15/22,HOP_7-2,-71.3812333,41.6181833,55.62864,Summer/Fall,HOP,ebb,1.04,12,0.215716221
71,8/15/22,WDI_7-2,-71.4383667,41.5075333,62.15088,Summer/Fall,WDI,flood,4.04,8,0.128719014